"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QHVIXUIX","conferencePaper","2024","Nicola, Claudiu-Ionel; Nicola, Marcel; Iacob, Andreea; Pîrvu, Cristian","PMSM Sensorless Control System Based on DTC Using FLC and Luenberger-PLL Observer","2024 6th Global Power, Energy and Communication Conference (GPECOM)","979-8-3503-5108-8","","10.1109/GPECOM61896.2024.10582597","https://ieeexplore.ieee.org/document/10582597/","","2024-06-04","2026-08-23 21:38:47","2026-08-23 22:11:43","2026-08-23 21:38:47","138-143","","","","","","","","","","","IEEE","Budapest, Hungary","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\YHP9AKEN\Nicola et al. - 2024 - PMSM Sensorless Control System Based on DTC Using FLC and Luenberger-PLL Observer.pdf","","PMSM; SENSORLESS; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 6th Global Power, Energy and Communication Conference (GPECOM)","","","","","","","","","","","","","","",""
"XSGQ6UHT","journalArticle","","Lydell, Emil","Sensorless Hybrid Field-Oriented Control Two-Phase Stepper Motor Driver","","","","","","","","2026-08-23 21:38:56","2026-08-23 22:13:04","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\EPCN35D3\Lydell - Sensorless Hybrid Field-Oriented Control Two-Phase Stepper Motor Driver.pdf","","STEPPER; SENSORLESS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6E5KAKPU","conferencePaper","2024","Wen, Sicong; Dou, ManFeng; Zhao, Dongdong; Hua, Zhiguang","A Current Sensorless Model Predictive Current Control Method With Luenberger Observer For PMSM Drives","2024 IEEE 10th International Power Electronics and Motion Control Conference (IPEMC2024-ECCE Asia)","979-8-3503-5133-0","","10.1109/IPEMC-ECCEAsia60879.2024.10567066","https://ieeexplore.ieee.org/document/10567066/","","2024-05-17","2026-08-23 21:38:59","2026-08-23 21:58:14","2026-08-23 21:38:59","2572-2577","","","","","","","","","","","IEEE","Chengdu, China","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\NQBDG66Q\Wen et al. - 2024 - A Current Sensorless Model Predictive Current Control Method With Luenberger Observer For PMSM Drive.pdf","","PMSM; SENSORLESS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE 10th International Power Electronics and Motion Control Conference (IPEMC2024-ECCE Asia)","","","","","","","","","","","","","","",""
"4EPIXPXD","conferencePaper","1989","Zribi, M.; Chiasson, J.","Exact Linearization Control of a PM Stepper Motor","1989 American Control Conference","","","10.23919/ACC.1989.4790211","https://ieeexplore.ieee.org/document/4790211/","","1989-06","2026-08-23 21:39:05","2026-08-23 22:01:18","2026-08-23 21:39:04","320-321","","","","","","","","","","","IEEE","Pittsburgh, PA, USA","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\GMYUN9DI\Zribi y Chiasson - 1989 - Exact Linearization Control of a PM Stepper Motor.pdf","","no sirve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1989 American Control Conference","","","","","","","","","","","","","","",""
"DU9ZQ4ZU","journalArticle","","","Luenberger state observer rotor position estimation simulink and software library","","","","","","","","2026-08-23 21:39:07","2026-08-23 22:02:50","","","","","","","","","","","","","","","","","","","","Zotero","","","","C:\Users\damia\Zotero\storage\JKAG2WPY\Luenberger state observer rotor position estimation simulink and software library.pdf","","Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXEXLBNJ","conferencePaper","2023","Nicola, Marcel; Nicola, Claudiu-Ionel","Improvement Performances of Sensorless Control for PMSM Based on FOC Strategy Using Luenberger Observer, Sine Cosine Algorithm, and RL-TD3 Agent","2023 International Conference on Electromechanical and Energy Systems (SIELMEN)","979-8-3503-1524-0","","10.1109/SIELMEN59038.2023.10290813","https://ieeexplore.ieee.org/document/10290813/","","2023-10-11","2026-08-23 21:39:10","2026-08-23 22:02:09","2026-08-23 21:39:10","1-7","","","","","","","","","","","IEEE","Craiova, Romania","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\R4H76TKN\Nicola y Nicola - 2023 - Improvement Performances of Sensorless Control for PMSM Based on FOC Strategy Using Luenberger Obser.pdf","","PMSM; SENSORLESS; Disturbed observer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 International Conference on Electromechanical and Energy Systems (SIELMEN)","","","","","","","","","","","","","","",""
"BEZW3SXB","conferencePaper","2016","Tomy, Nilu Mary; Francis, Jebin","Field oriented sensorless position control of a hybrid stepper motor with extended Kalman filter","2016 10th International Conference on Intelligent Systems and Control (ISCO)","978-1-4673-7807-9","","10.1109/ISCO.2016.7727056","http://ieeexplore.ieee.org/document/7727056/","","2016-01","2026-08-23 21:39:15","2026-08-23 22:01:07","2026-08-23 21:39:15","1-5","","","","","","","","","","","IEEE","Coimbatore, India","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\Y79FPJMX\Tomy y Francis - 2016 - Field oriented sensorless position control of a hybrid stepper motor with extended Kalman filter.pdf","","no sirve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 10th International Conference on Intelligent Systems and Control (ISCO)","","","","","","","","","","","","","","",""
"FH2CNL4I","journalArticle","","","0_tags","","","","","","","","2026-08-23 21:43:07","2026-08-24 14:41:03","","","","","","","","","","","","","","","","","","","","","","","","","","PMSM; STEPPER; SENSORLESS; HFI; Disturbed observer; Cogging; Low-speed; Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MTMK56PE","journalArticle","2017","Derammelaere, Stijn; Vervisch, Bram; De Viaene, Jasper; Stockman, Kurt","Sensorless load angle control for two-phase hybrid stepper motors","Mechatronics","","09574158","10.1016/j.mechatronics.2017.02.003","https://linkinghub.elsevier.com/retrieve/pii/S0957415817300168","","2017-05","2026-08-24 14:42:05","2026-08-24 14:49:22","2026-08-24 14:42:05","6-17","","","43","","Mechatronics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\3ACT5GAR\Derammelaere et al. - 2017 - Sensorless load angle control for two-phase hybrid stepper motors.pdf","","STEPPER; SENSORLESS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2MBRJGI","conferencePaper","2017","Rachev, Emil; Petrov, Vladislav; Stoev, Bozhidar","Cogging torque effect on motor start-up in a sensorless motor drive for permanent magnet synchronous motors","2017 15th International Conference on Electrical Machines, Drives and Power Systems (ELMA)","978-1-5090-6690-2 978-1-5090-6691-9","","10.1109/ELMA.2017.7955434","http://ieeexplore.ieee.org/document/7955434/","This paper deals with issues created by the cogging torque exhibited in permanent magnet synchronous motors in a motor drive with field oriented control. Experimental results are shown for both the start-up procedure and the steady-state operation of the used motor. The static and cogging torque are also measured at low speed to optimize the parameters of the start-up algorithm.","2017-06","2026-08-24 14:42:10","2026-08-24 14:51:25","2026-08-24 14:42:10","211-214","","","","","","","","","","","IEEE","Sofia, Bulgaria","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\49KDATEP\Rachev et al. - 2017 - Cogging torque effect on motor start-up in a sensorless motor drive for permanent magnet synchronous.pdf","","no sirve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 15th International Conference on Electrical Machines, Drives and Power Systems (ELMA)","","","","","","","","","","","","","","",""
"ZAIMTBV2","journalArticle","2016","Agrawal, Jyoti; Bodkhe, Sanjay","Experimental Study of Low Speed Sensorless Control of PMSM Drive Using High Frequency Signal Injection","Advances in Electrical and Electronic Engineering","","1804-3119, 1336-1376","10.15598/aeee.v14i1.1564","http://advances.utc.sk/index.php/AEEE/article/view/1564","","2016-03-23","2026-08-24 14:42:19","2026-08-24 14:50:03","2026-08-24 14:42:19","29 - 39","","1","14","","AEEE","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\9NBHW7ZC\Agrawal y Bodkhe - 2016 - Experimental Study of Low Speed Sensorless Control of PMSM Drive Using High Frequency Signal Injecti.pdf","","PMSM; SENSORLESS; HFI; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVI2AZPI","journalArticle","2022","Kim, Seok-Kyoon; Kim, Kwan Soo; Lee, Dong Kyu; Ahn, Choon Ki","Current sensorless position-tracking control with angular acceleration error observers for hybrid-type stepping motors","Scientific Reports","","2045-2322","10.1038/s41598-022-19250-0","https://www.nature.com/articles/s41598-022-19250-0","Abstract             This paper exhibits an advanced observer-based position-tracking controller for hybrid-type stepping motors with consideration of parameter and load uncertainties. As the main contribution, a current sensorless observer-based pole-zero cancellation speed controller is devised for the outer loop position-tracking controller including the convergence rate boosting mechanism. The features of this study are summarized as follows; first, the pole-zero cancellation angular acceleration error observer for the inner loop speed controller, second, the pole-zero cancellation speed control forcing the order of the controlled speed error dynamics to be 1, and, third, the outer loop position control incorporating the first-order target tracking system with its convergence rate booster. The resultant effectiveness is verified on a 10-W stepping motor control system.","2022-09-02","2026-08-24 14:42:29","2026-08-24 14:47:57","2026-08-24 14:42:29","14993","","1","12","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\8VJIVP6J\Kim et al. - 2022 - Current sensorless position-tracking control with angular acceleration error observers for hybrid-ty.pdf","","no sirve","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZ8FHWPC","journalArticle","2016","Xiaoquan, Lu; Heyun, Lin; Junlin, Han","Load disturbance observer‐based control method for sensorless PMSM drive","IET Electric Power Applications","","1751-8660, 1751-8679","10.1049/iet-epa.2015.0550","https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/iet-epa.2015.0550","This study proposes a sensorless control method for the permanent magnet synchronous machine (PMSM) drive that is robust against load torque variations. The proposed method is based on the disturbance observer‐based control (DOBC) method, and involves the use of a back electromotive force observer and a torque observer to estimate rotor position and compensate for load torque disturbance, respectively. This mechanism is simple to implement and requires no state vector derivation. The gains of the two observers are carefully selected to improve estimation accuracy and dynamic performance. The performance of the proposed load DOBC for sensorless PMSM drives was tested through a simulation, where the sensorless estimation error was considered to determine the adjustment laws for the proposed observer gains. Furthermore, results of evaluative experiments verified the effectiveness of the proposed method for high‐performance sensorless control and torque disturbance rejection for the PMSM drive.","2016-09","2026-08-24 14:42:34","2026-08-24 14:46:33","2026-08-24 14:42:34","735-743","","8","10","","IET Electric Power Appl","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\A9SZCC64\Xiaoquan et al. - 2016 - Load disturbance observer‐based control method for sensorless PMSM drive.pdf","","PMSM; SENSORLESS; Disturbed observer; Low-speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6AKV5JLJ","journalArticle","2016","Mora, Andres; Orellana, Alvaro; Juliet, Jorge; Cardenas, Roberto","Model Predictive Torque Control for Torque Ripple Compensation in Variable-Speed PMSMs","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2016.2536586","http://ieeexplore.ieee.org/document/7423767/","","2016-07","2026-08-24 15:18:06","2026-08-24 15:19:55","2026-08-24 15:18:06","4584-4592","","7","63","","IEEE Trans. Ind. Electron.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\WGDTIC3T\Mora et al. - 2016 - Model Predictive Torque Control for Torque Ripple Compensation in Variable-Speed PMSMs.pdf","","PMSM; HFI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQRK3FPB","conferencePaper","2025","Petro, Viktor; Kyslan, Karol; Horváth, Krisztián; Wróbel, Karol; Tarchała, Grzegorz","HF Pulse Signal Injection Based Method for Sensorless Control of PMSM with Cogging Torque Compensation","2025 7th Global Power, Energy and Communication Conference (GPECOM)","979-8-3315-1323-8","","10.1109/GPECOM65896.2025.11061829","https://ieeexplore.ieee.org/document/11061829/","","2025-06-11","2026-08-24 15:18:11","2026-08-24 15:18:52","2026-08-24 15:18:11","257-262","","","","","","","","","","","IEEE","Bochum, Germany","","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\QU7ZPX8A\Petro et al. - 2025 - HF Pulse Signal Injection Based Method for Sensorless Control of PMSM with Cogging Torque Compensati.pdf","","PMSM; SENSORLESS; HFI; Cogging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 7th Global Power, Energy and Communication Conference (GPECOM)","","","","","","","","","","","","","","",""
"IAGHG22Q","journalArticle","2019","Mandra, Slawomir; Galkowski, Krzysztof; Rogers, Eric; Rauh, Andreas; Aschemann, Harald","Performance-Enhanced Robust Iterative Learning Control With Experimental Application to PMSM Position Tracking","IEEE Transactions on Control Systems Technology","","1063-6536, 1558-0865, 2374-0159","10.1109/TCST.2018.2816906","https://ieeexplore.ieee.org/document/8337090/","","2019-07","2026-08-24 15:20:11","2026-08-24 15:32:04","2026-08-24 15:20:11","1813-1819","","4","27","","IEEE Trans. Contr. Syst. Technol.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\ZSHFK2LZ\Mandra et al. - 2019 - Performance-Enhanced Robust Iterative Learning Control With Experimental Application to PMSM Positio.pdf","","Cogging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZPQX5EM","journalArticle","2019","Arias, Antoni; Caum, Jesus; Ibarra, Edorta; Grino, Robert","Reducing the Cogging Torque Effects in Hybrid Stepper Machines by Means of Resonant Controllers","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2018.2844786","https://ieeexplore.ieee.org/document/8382325/","","2019-04","2026-08-24 15:20:16","2026-08-24 15:33:07","2026-08-24 15:20:16","2603-2612","","4","66","","IEEE Trans. Ind. Electron.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\XSZAIVCK\Arias et al. - 2019 - Reducing the Cogging Torque Effects in Hybrid Stepper Machines by Means of Resonant Controllers.pdf","","PMSM; Cogging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHX4N8TK","conferencePaper","2014","Piccoli, Matthew; Yim, Mark","Cogging Torque Ripple Minimization via Position Based Characterization","Robotics: Science and Systems X","978-0-9923747-0-9","","10.15607/RSS.2014.X.042","http://www.roboticsproceedings.org/rss10/p42.pdf","","2014-07-12","2026-08-24 15:20:30","2026-08-24 15:31:39","2026-08-24 15:20:30","","","","","","","","","","","","Robotics: Science and Systems Foundation","","","","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\QYCPW5JH\Piccoli y Yim - 2014 - Cogging Torque Ripple Minimization via Position Based Characterization.pdf","","PMSM; Cogging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Robotics: Science and Systems 2014","","","","","","","","","","","","","","",""
"4Z4STFVN","journalArticle","2006","Jul-Ki Seok; Jong-Kun Lee; Dong-Choon Lee","Sensorless speed control of nonsalient permanent-magnet synchronous motor using rotor-position-tracking PI controller","IEEE Transactions on Industrial Electronics","","0278-0046","10.1109/TIE.2006.870728","http://ieeexplore.ieee.org/document/1614122/","","2006-04","2026-08-24 15:34:50","2026-08-24 20:17:08","2026-08-24 15:34:50","399-405","","2","53","","IEEE Trans. Ind. Electron.","","","","","","","","","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","C:\Users\damia\Zotero\storage\AK8HI2LM\Jul-Ki Seok et al. - 2006 - Sensorless speed control of nonsalient permanent-magnet synchronous motor using rotor-position-track.pdf","","SENSORLESS; Ecuaciones","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
